Num:                256
No                  Package             Version
============================================================
1                   absl-py             2.1.0
2                   aiohappyeyeballs    2.3.4
3                   aiohttp             3.10.0
4                   aiosignal           1.3.1
5                   altgraph            0.17.4
6                   annotated-types     0.7.0
7                   anyio               4.4.0
8                   astor               0.8.1
9                   astrapy             1.4.0
10                  asttokens           2.4.1
11                  astunparse          1.6.3
12                  attrs               23.2.0
13                  beautifulsoup4      4.12.3
14                  blinker             1.8.2
15                  blis                0.7.11
16                  bs4                 0.0.2
17                  bson                0.5.10
18                  cassandra-driver    3.29.1
19                  cassio              0.1.8
20                  catalogue           2.0.10
21                  certifi             2024.6.2
22                  cffi                1.16.0
23                  charset-normalizer  3.3.2
24                  click               8.1.7
25                  cloudpathlib        0.18.1
26                  cloudpickle         3.1.0
27                  cmake               3.30.0
28                  colorama            0.4.6
29                  colored             2.2.4
30                  comm                0.2.2
31                  confection          0.1.5
32                  contourpy           1.2.1
33                  cycler              0.12.1
34                  cymem               2.0.8
35                  dataclasses-json    0.6.7
36                  debugpy             1.8.5
37                  decorator           5.1.1
38                  deprecation         2.1.0
39                  distlib             0.3.8
40                  distro              1.9.0
41                  dlib                file:///C:/Users/Lenovo/Desktop/AISC2024%20IOTMLLAB/dlib-19.24.99-cp312-cp312-win_amd64.whl#sha256=20c62e606ca4c9961305f7be3d03990380d3e6c17f8d27798996e97a73271862
42                  docx                0.2.4
43                  duckdb              1.0.0
44                  editdistpy          0.1.4
45                  en-core-web-sm      https://github.com/explosion/spacy-models/releases/download/en_core_web_sm-3.7.1/en_core_web_sm-3.7.1-py3-none-any.whl#sha256=86cc141f63942d4b2c5fcee06630fd6f904788d2f0ab005cce45aadb8fb73889
46                  et_xmlfile          2.0.0
47                  executing           2.0.1
48                  Faker               19.13.0
49                  Farama-Notifications0.0.4
50                  fastapi             0.112.0
51                  ffmpeg-python       0.2.0
52                  filelock            3.15.4
53                  Flask               3.0.3
54                  flatbuffers         24.3.25
55                  fonttools           4.53.0
56                  frozenlist          1.4.1
57                  fsspec              2024.6.0
58                  future              1.0.0
59                  gast                0.5.5
60                  geomet              0.2.1.post1
61                  gitdb               4.0.11
62                  GitPython           3.1.43
63                  google-pasta        0.2.0
64                  greenlet            3.0.3
65                  grpcio              1.64.1
66                  gymnasium           1.0.0
67                  h11                 0.14.0
68                  h2                  4.1.0
69                  h5py                3.11.0
70                  hpack               4.0.0
71                  httpcore            1.0.5
72                  httpx               0.27.0
73                  huggingface-hub     0.24.5
74                  hyperframe          6.0.1
75                  idna                3.7
76                  imageio             2.34.2
77                  iniconfig           2.0.0
78                  intel-openmp        2021.4.0
79                  ipykernel           6.29.5
80                  ipython             8.26.0
81                  itsdangerous        2.2.0
82                  jax                 0.4.30
83                  jaxlib              0.4.30
84                  jedi                0.19.1
85                  Jinja2              3.1.4
86                  joblib              1.4.2
87                  jsonpatch           1.33
